id BF.047 BF.047.b BF.052 BF.052.b BF.143 BF.143.b BF.174 BF.174.b BF.185 BF.185.b BF.190 BF.190.b BF.212 BF.212.b BF.225 BF.225.b BF.230 BF.230.b BF.231 BF.231.b
1 38 30 30 39 67 51 62 62 53 62 57 49 58 64 67 71 66 66 56 52
2 38 38 45 48 47 49 42 42 56 47 57 71 61 64 67 67 84 66 68 70
3 30 34 30 30 51 51 42 62 59 50 49 59 67 46 67 71 66 69 56 74
4 38 38 45 39 51 47 58 42 53 65 49 69 46 49 65 71 84 66 68 52
5 38 34 48 48 51 51 42 42 56 38 57 59 85 64 65 71 75 66 68 52
6 38 38 27 45 51 51 62 36 62 65 57 49 64 64 71 67 48 90 52 68
7 34 30 30 45 51 51 48 58 56 65 57 49 76 46 71 69 42 84 52 52
8 32 34 45 30 51 51 42 58 65 59 59 59 64 70 67 65 69 66 52 68
9 38 38 48 54 51 51 60 46 59 62 59 57 46 61 67 65 93 72 52 56
10 38 38 51 45 51 51 58 58 59 50 59 57 64 64 67 71 93 90 68 68
11 36 30 45 30 51 79 46 58 47 62 57 57 64 46 63 67 84 66 52 52
12 34 30 39 45 51 51 62 58 53 62 59 57 61 46 63 67 42 42 52 52
13 38 30 48 27 59 47 36 58 47 47 59 57 46 46 65 71 42 93 62 66
14 34 38 45 39 51 51 46 42 59 47 57 59 40 46 71 67 66 66 52 56
15 34 38 30 45 51 51 36 36 62 47 57 57 46 46 67 65 78 63 68 70
16 38 30 30 63 51 51 42 46 47 59 57 57 64 64 65 69 66 84 78 68
17 38 38 48 45 51 53 58 46 62 38 59 57 64 46 67 67 81 66 68 52
18 38 30 51 27 79 51 46 42 62 47 57 59 64 61 69 71 78 42 68 68
19 38 38 30 45 51 51 58 42 62 53 57 57 64 40 69 67 75 66 52 52
20 30 38 30 48 51 51 58 42 59 65 57 49 64 64 71 67 84 81 64 52
21 38 38 30 30 51 51 46 46 47 56 49 49 67 64 67 67 42 69 52 52
22 38 34 45 48 51 77 62 58 65 59 57 49 64 64 67 67 75 93 68 68
23 38 34 48 27 51 55 42 42 59 59 49 57 61 46 71 71 93 66 52 52
24 38 34 39 45 51 51 62 42 62 59 49 57 46 76 67 59 66 72 52 52
25 38 30 45 45 51 51 46 58 56 50 49 49 46 67 67 67 84 69 72 56
26 34 34 30 30 51 51 58 46 56 47 59 57 46 46 67 67 84 93 68 52
27 38 30 48 45 51 51 42 42 56 62 49 49 67 46 67 65 63 66 52 68
