id sex distance SL cohort offspring color
1 Female 37 18.45 1 0 NA
2 Female 1.5 21.62 1 0 NA
3 Female 1.5 20.66 1 0 NA
4 Female 1.5 19.63 1 0 NA
5 Female 37 17.6 1 0 NA
6 Female 1 28.93 1 0 NA
114 Female 1.5 26.36 3 1 NA
115 Female 1.5 25.94 3 1 NA
116 Female 3.5 24.794 3 1 NA
117 Female 1.5 26.81 3 1 NA
118 Female 1.5 25.22 3 1 NA
119 Female 37 16.84 3 1 NA
7 Female 1.5 28.18 1 0 NA
8 Female 37 16.5 1 0 NA
9 Female 37 18.74 1 0 NA
10 Female 37 21.87 1 0 NA
11 Female 37 20.02 1 0 NA
12 Female 1.5 24.7 1 0 NA
13 Female 37 21.59 1 0 NA
14 Female 1.5 26.97 1 0 NA
15 Female 1.5 23.25 1 0 NA
16 Female 1.5 26.47 1 0 NA
17 Female 1.5 27.63 1 0 NA
18 Female 1.5 19.57 1 0 NA
19 Female 37 17.95 1 0 NA
20 Female 37 21.56 1 0 NA
21 Female 1.5 21.47 1 0 NA
22 Female 41.5 27.41 1 0 NA
23 Female 1.5 18.96 1 0 NA
24 Female 37 18.38 1 0 NA
25 Female 1.5 18.98 1 0 NA
26 Female 1.5 20.74 1 0 NA
27 Female 34 27.5 1 0 NA
28 Female 37 21.11 1 0 NA
29 Female 37 23.84 1 0 NA
30 Female 37 24.04 1 0 NA
31 Female 22.5 27.43 1 0 NA
32 Female 37 20.74 1 0 NA
33 Female 37 17.62 1 0 NA
34 Female 37 18.09 1 0 NA
35 Female 1.5 25.6 1 0 NA
36 Female 1.5 17.2 1 0 NA
37 Female 1.5 25.61 1 0 NA
38 Female 1.5 26.82 1 0 NA
120 Male 22.5 19.06 3 1 N
121 Male 37 17.07 3 1 K
39 Male 1.5 16.22 1 0 A
40 Male 37 15.74 1 0 F
41 Male 41.5 18.14 1 0 A
42 Male 37 16.83 1 0 J
43 Male 1.5 17.24 1 0 K
44 Male 4.5 16.72 1 0 E
45 Male 1.5 17.93 1 0 K
46 Male 37 17.01 1 0 K
47 Male 37 16.79 1 0 Q
48 Male 42.5 16.63 1 0 I
49 Male 37 16.89 1 0 I
50 Male 1.5 15.56 1 0 N
51 Male 37 16.4 1 0 A
52 Male 1.5 17.55 1 0 F
53 Male 1.5 17.78 1 0 E
54 Male 1.5 16.74 1 0 R
55 Male 1.5 15.57 1 0 O
56 Male 1.5 17.73 1 0 I
57 Male 1.5 16.34 1 0 M
58 Male 37 16.73 1 0 J
59 Male 1.5 16.57 1 0 L
60 Male 37 16.64 1 0 L
61 Male 37 18.69 1 0 O
62 Male 42.5 18.27 1 0 O
63 Male 1.5 17.22 1 0 N
64 Male 37 18.28 1 0 O
65 Male 1.5 17.23 1 0 N
66 Male 37 17.65 1 0 S
67 Male 1.5 16.99 1 0 E
68 Male 37 17.83 1 0 F
69 Male 1.5 16.49 1 0 K
70 Male 37 16.59 1 0 F
71 Male 37 16.16 1 0 Q
72 Male 9 17.31 1 0 Q
73 Male 42.5 17.28 1 0 R
74 Male 37 17.35 1 0 F
75 Male 37 17.41 1 0 C
76 Male 37 17.71 1 0 A
77 Male 6.5 15.86 1 0 S
78 Male 6.5 16.87 1 0 P
79 Male 6.5 16.38 1 0 T
80 Male 6.5 18.97 1 0 N
81 Male 6.5 16.55 1 0 G
82 Male 41 17.64 1 0 E
83 Male 6.5 15.23 1 0 E
84 Male 6.5 16.82 1 0 G
85 Male 41 17.24 1 0 K
86 Male 6.5 15.74 1 0 L
87 Male 41 17.43 1 0 B
88 Male 41 17.65 1 0 B
89 Male 6.5 17.43 1 0 O
90 Male 6.5 14.63 1 0 J
91 Male 6.5 17.95 1 0 T
92 Male 6.5 18.08 1 0 K
93 Male 6.5 16.02 1 0 C
94 Male 6.5 17.39 1 0 B
95 Male 41 17.96 1 0 K
96 Male 6.5 18.84 1 0 F
97 Male 41 15.51 1 0 F
98 Male 6.5 16.29 1 0 P
99 Male 41 16.18 1 0 M
100 Male 41 17.44 1 0 C
101 Male 41 16.6 1 0 T
102 Male 6.5 18.07 1 0 B
103 Male 41 18.54 1 0 M
104 Male 6.5 16.47 1 0 L
105 Male 41 17.3 1 0 S
106 Male 6.5 16.32 1 0 M
107 Male 41 16.35 1 0 D
108 Male 6.5 16.34 1 0 G
109 Male 6.5 17.34 1 0 P
110 Male 6.5 16.02 1 0 M
111 Male 6.5 16.68 1 0 J
112 Male 41 15.55 1 0 H
113 Male 6.5 16.81 1 0 N
